text,category
I was overcharged this month.,Billing Issue
Why is my invoice amount incorrect?,Billing Issue
I can't download my bill statement.,Billing Issue
I need a refund for my last transaction.,Billing Issue
Why is my invoice amount incorrect?,Billing Issue
Double charge on my credit card.,Billing Issue
Payment failed but money was deducted.,Billing Issue
I was overcharged this month.,Billing Issue
Why is my invoice amount incorrect?,Billing Issue
Where can I view my past invoices?,Billing Issue
Payment failed but money was deducted.,Billing Issue
Double charge on my credit card.,Billing Issue
Double charge on my credit card.,Billing Issue
I was overcharged this month.,Billing Issue
I can't download my bill statement.,Billing Issue
Double charge on my credit card.,Billing Issue
Double charge on my credit card.,Billing Issue
Payment failed but money was deducted.,Billing Issue
Why is my invoice amount incorrect?,Billing Issue
Double charge on my credit card.,Billing Issue
I can't download my bill statement.,Billing Issue
I was overcharged this month.,Billing Issue
Where can I view my past invoices?,Billing Issue
Payment failed but money was deducted.,Billing Issue
My subscription shows expired after payment.,Billing Issue
I was overcharged this month.,Billing Issue
My subscription shows expired after payment.,Billing Issue
I need a refund for my last transaction.,Billing Issue
Payment failed but money was deducted.,Billing Issue
My subscription shows expired after payment.,Billing Issue
Why is my invoice amount incorrect?,Billing Issue
I can't download my bill statement.,Billing Issue
I was overcharged this month.,Billing Issue
My subscription shows expired after payment.,Billing Issue
Double charge on my credit card.,Billing Issue
I can't download my bill statement.,Billing Issue
I can't download my bill statement.,Billing Issue
Why is my invoice amount incorrect?,Billing Issue
My subscription shows expired after payment.,Billing Issue
My subscription shows expired after payment.,Billing Issue
My subscription shows expired after payment.,Billing Issue
Why is my invoice amount incorrect?,Billing Issue
I can't download my bill statement.,Billing Issue
My subscription shows expired after payment.,Billing Issue
Double charge on my credit card.,Billing Issue
I was overcharged this month.,Billing Issue
I can't download my bill statement.,Billing Issue
Why is my invoice amount incorrect?,Billing Issue
Where can I view my past invoices?,Billing Issue
Double charge on my credit card.,Billing Issue
The app keeps crashing on startup.,Technical Support
Camera permissions are not working in the app.,Technical Support
The dashboard is not updating in real-time.,Technical Support
Website isn't loading on my laptop.,Technical Support
My data is not syncing across devices.,Technical Support
Website isn't loading on my laptop.,Technical Support
My data is not syncing across devices.,Technical Support
I can't access certain features after update.,Technical Support
The dashboard is not updating in real-time.,Technical Support
Website isn't loading on my laptop.,Technical Support
I'm getting an error code 404.,Technical Support
I can't access certain features after update.,Technical Support
Unable to install the latest update.,Technical Support
I can't access certain features after update.,Technical Support
Website isn't loading on my laptop.,Technical Support
Unable to install the latest update.,Technical Support
I can't access certain features after update.,Technical Support
The app keeps crashing on startup.,Technical Support
Camera permissions are not working in the app.,Technical Support
The app keeps crashing on startup.,Technical Support
The dashboard is not updating in real-time.,Technical Support
I can't access certain features after update.,Technical Support
The dashboard is not updating in real-time.,Technical Support
The app keeps crashing on startup.,Technical Support
I'm getting an error code 404.,Technical Support
Website isn't loading on my laptop.,Technical Support
Unable to install the latest update.,Technical Support
The dashboard is not updating in real-time.,Technical Support
I can't access certain features after update.,Technical Support
The app keeps crashing on startup.,Technical Support
Unable to install the latest update.,Technical Support
The dashboard is not updating in real-time.,Technical Support
Unable to install the latest update.,Technical Support
I'm getting an error code 404.,Technical Support
I'm getting an error code 404.,Technical Support
The app keeps crashing on startup.,Technical Support
I'm getting an error code 404.,Technical Support
Camera permissions are not working in the app.,Technical Support
I'm getting an error code 404.,Technical Support
I can't access certain features after update.,Technical Support
Website isn't loading on my laptop.,Technical Support
Unable to install the latest update.,Technical Support
Website isn't loading on my laptop.,Technical Support
The dashboard is not updating in real-time.,Technical Support
I'm getting an error code 404.,Technical Support
Website isn't loading on my laptop.,Technical Support
Camera permissions are not working in the app.,Technical Support
The dashboard is not updating in real-time.,Technical Support
My data is not syncing across devices.,Technical Support
Camera permissions are not working in the app.,Technical Support
I didn't receive the verification email.,Account Access
How do I update my phone number for login?,Account Access
How do I reset my password?,Account Access
I can't change my recovery email.,Account Access
I'm locked out of my account.,Account Access
Login keeps failing even with correct credentials.,Account Access
How do I update my phone number for login?,Account Access
My 2FA code is not working.,Account Access
How do I update my phone number for login?,Account Access
How do I update my phone number for login?,Account Access
I can't change my recovery email.,Account Access
My 2FA code is not working.,Account Access
I forgot my password.,Account Access
Login keeps failing even with correct credentials.,Account Access
I'm locked out of my account.,Account Access
How do I reset my password?,Account Access
I'm locked out of my account.,Account Access
How do I reset my password?,Account Access
I'm locked out of my account.,Account Access
I didn't receive the verification email.,Account Access
I forgot my password.,Account Access
Login keeps failing even with correct credentials.,Account Access
I didn't receive the verification email.,Account Access
I'm locked out of my account.,Account Access
How do I reset my password?,Account Access
I didn't receive the verification email.,Account Access
My 2FA code is not working.,Account Access
Login keeps failing even with correct credentials.,Account Access
How do I reset my password?,Account Access
I didn't receive the verification email.,Account Access
How do I reset my password?,Account Access
How do I update my phone number for login?,Account Access
I can't change my recovery email.,Account Access
I didn't receive the verification email.,Account Access
My 2FA code is not working.,Account Access
I can't change my recovery email.,Account Access
I can't change my recovery email.,Account Access
My 2FA code is not working.,Account Access
I'm locked out of my account.,Account Access
I forgot my password.,Account Access
I can't change my recovery email.,Account Access
My 2FA code is not working.,Account Access
I can't change my recovery email.,Account Access
I'm locked out of my account.,Account Access
I can't change my recovery email.,Account Access
I didn't receive the verification email.,Account Access
My 2FA code is not working.,Account Access
I didn't receive the verification email.,Account Access
How do I update my phone number for login?,Account Access
How do I update my phone number for login?,Account Access
Please stop charging me every month.,Cancellation Request
Cancel my account immediately.,Cancellation Request
Need confirmation of my subscription cancellation.,Cancellation Request
I want to cancel my subscription.,Cancellation Request
Cancel my account immediately.,Cancellation Request
I want to cancel my subscription.,Cancellation Request
Need confirmation of my subscription cancellation.,Cancellation Request
Can you delete all my data and close my account?,Cancellation Request
Can you delete all my data and close my account?,Cancellation Request
